GEO_UID,CMA_code,CMA_name,Census_Tract_name,Occupied_private_dwellings_by_structural_type_of_dwelling,Single_detached_house,Apartment_in_a_building_that_has_five_or_more_storeys,Semi_detached_house,Row_house,Apartment_or_flat_in_a_duplex,Apartment_in_a_building_that_has_fewer_than_five_storeys,Movable_dwelling,Private_households_by_household_size,F1_person,F2_person,F3_person,F4_person,F5_person_or_more,Number_of_persons_in_private_households
5350054.0,535,Toronto,54.0,2725,180,930,190,50,90,1285,0,2725,1065,925,350,240,140,5735
5350055.0,535,Toronto,55.0,1320,85,75,125,5,115,890,0,1320,515,440,190,115,65,2760
5350056.0,535,Toronto,56.0,2015,160,0,450,135,180,1025,0,2020,570,730,350,240,130,4765
5350057.0,535,Toronto,57.0,1105,30,0,185,85,15,800,0,1105,430,390,145,95,45,2290
5350058.0,535,Toronto,58.0,1890,80,235,200,70,100,1175,0,1885,720,665,260,145,95,3950
5350059.0,535,Toronto,59.0,1450,75,0,135,195,95,950,0,1450,450,535,250,150,65,3225
5350060.0,535,Toronto,60.0,1475,45,815,75,75,80,335,0,1470,695,505,165,70,40,2685
5350061.0,535,Toronto,61.0,475,5,310,5,15,10,125,0,475,300,110,35,20,10,765
5350062.01,535,Toronto,62.01,3300,0,3175,0,10,0,110,0,3305,1665,1175,300,140,20,5585
5350062.02,535,Toronto,62.02,5375,0,5290,0,5,0,75,0,5375,2735,1930,500,170,40,8990
5350063.03,535,Toronto,63.03,3405,0,3235,0,15,0,145,0,3405,2025,1150,170,45,10,5085
5350063.04,535,Toronto,63.04,2265,0,1905,10,55,0,285,0,2260,1470,645,105,30,15,3265
5350063.05,535,Toronto,63.05,2940,0,2730,0,0,0,205,0,2940,1785,980,135,40,5,4325
5350063.06,535,Toronto,63.06,3520,5,3135,5,45,10,325,0,3520,2235,1045,175,40,15,5135
5350064.0,535,Toronto,64.0,2680,5,2090,0,100,20,460,0,2685,1550,920,150,45,15,4125
